"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"107","1.15783999104849","16.0100388144163","0","0","0","region","country","points","1","11"
"13","1.55042391610426","16.6307056131025","0","0","0","region","country","points","1","11"
"64","1.35426723404676","16.3923414240692","0","0","0","region","country","points","1","11"
"298","1.30935411787911","15.9946168407785","0","0","0","region","country","points","1","11"
"142","0.952754797945618","15.8758405876733","0","0","0","region","country","points","1","11"
"54","0.992527256238656","15.9510565292752","0","0","0","region","country","points","1","11"
"51","1.50929865310738","15.8550073952152","0","0","0","region","country","points","1","11"
"145","1.46655002446588","16.7984533965313","0","0","0","region","country","points","1","11"
"229","1.15919279575234","16.754893085028","0","0","0","region","country","points","1","11"
"225","1.54961223328195","15.8817929283756","0","0","0","region","country","points","1","11"
"200","1.40892054408209","15.9405046525757","0","0","0","region","country","points","1","11"
"116","1.35507891686907","16.101217851538","0","0","0","region","country","points","1","11"
"48","0.870233711011084","16.1813038900782","0","0","0","region","country","points","1","11"
"9","1.46682058540665","16.4377956621595","0","0","0","region","country","points","1","11"
"38","1.33668077289678","16.0657743682652","0","0","0","region","country","points","1","11"
"108","1.04068710369553","16.6902290201256","0","0","0","region","country","points","1","11"
"115","1.52904960178351","15.8777345142604","0","0","0","region","country","points","1","11"
"277","1.15702830822619","15.9981341330117","0","0","0","region","country","points","1","11"
"224","1.10102219348701","15.945915871396","0","0","0","region","country","points","1","11"
"274","1.15811055198926","15.9632317716209","0","0","0","region","country","points","1","11"
"186","1.0209361550194","16.4350900527494","0","0","0","region","country","points","1","11"
"194","1.49928789829893","16.8458015612087","0","0","0","region","country","points","1","11"
"188","0.959248260524074","16.6472098305044","0","0","0","region","country","points","1","11"
"236","1.33695133383755","16.023566861467","0","0","0","region","country","points","1","11"
"157","1.24360780927225","16.75543420691","0","0","0","region","country","points","1","11"
"47","0.983328184252511","16.1564122835049","0","0","0","region","country","points","1","11"
"21","0.898913170732594","16.504894775531","0","0","0","region","country","points","1","11"
"121","0.82423835108036","16.678324338721","0","0","0","region","country","points","1","11"
"16","1.00632586421787","15.9737836483204","0","0","0","region","country","points","1","11"
"158","1.57315103512885","16.7605748647893","0","0","0","region","country","points","1","11"
"230","0.896748683206443","16.6074373721753","0","0","0","region","country","points","1","11"
"197","1.35751396533599","16.8079230294667","0","0","0","region","country","points","1","11"
"199","1.21249330108382","15.8379620559314","0","0","0","region","country","points","1","11"
"204","1.10913902171008","16.8360613673322","0","0","0","region","country","points","1","11"
"232","0.997126792231728","15.8669120766199","0","0","0","region","country","points","1","11"
"18","1.42380139582439","15.8826046111987","0","0","0","region","country","points","1","11"
"227","1.23603210293072","16.7584103772612","0","0","0","region","country","points","1","11"
"170","1.37591210930828","16.217017934292","0","0","0","region","country","points","1","11"
"134","1.14918204094389","16.1439664802182","0","0","0","region","country","points","1","11"
"176","1.48494816843817","16.4637695124969","0","0","0","region","country","points","1","11"
"23","1.43083598028438","16.1745398665528","0","0","0","region","country","points","1","2"
"172","1.49739397171354","16.3171254824672","0","0","0","region","country","points","1","11"
"289","1.33776301665985","16.5690177185513","0","0","0","region","country","points","1","11"
"5","0.880244465819536","15.8663709547378","0","0","0","region","country","points","1","11"
