"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"283","1.55150615986734","16.1123108501196","353","0.00701594472036417","1.1737461033339","Sangha","Republic of Congo","points","1","12"
"97","1.49306499666124","15.8961326582494","443","0.00471294125538772","4.29763210283494","Sangha","Republic of Congo","points","1","12"
"198","1.425424761469","15.9670196247951","415","0.00581005171495588","4.08910661113077","Sangha","Republic of Congo","points","1","12"
"170","1.29339102237374","16.7451528911515","363","0.00652145431841725","1.9998629682584","Sangha","Republic of Congo","points","1","12"
"59","1.30448402094527","16.6999692140021","372","0.0150281386165254","2.69658688868143","Sangha","Republic of Congo","points","1","12"
"75","1.44977524613821","15.831468593347","460","0.00880733357935882","3.88035366920721","Sangha","Republic of Congo","points","1","12"
"189","1.39431025328057","16.1556006006819","369","0.00740371503826375","1.38653256965747","Sangha","Republic of Congo","points","1","12"
"264","1.43164766310669","15.8330919589931","446","0.00743564035602019","2.56661793676433","Sangha","Republic of Congo","points","1","12"
"12","1.57504496171424","15.9643140153849","394","0.00768776774931936","2.1079736043262","Sangha","Republic of Congo","points","1","12"
"288","1.36184294038829","16.6804888262491","372","0.00463247308020497","3.4982531237576","Sangha","Republic of Congo","points","1","12"
"7","1.42407195676515","15.9064139740079","386","0.00888720109917822","1.4020962267509","Sangha","Republic of Congo","points","1","12"
"147","1.3897107172875","16.7015925796482","403","0.00606280093928125","5.07851003610575","Sangha","Republic of Congo","points","1","12"
"220","1.39214576575442","16.6899584591846","382","0.00560249558807454","3.02100972046047","Sangha","Republic of Congo","points","1","12"
"242","1.42813037087669","15.8706999297941","439","0.00676116715807925","1.49045552550722","Sangha","Republic of Congo","points","1","12"
"64","1.38457005941289","15.8531134686281","420","0.0168981794372293","1.10457431478743","Sangha","Republic of Congo","points","1","12"
"201","1.50875753122584","15.9245415570558","429","0.00325786589471673","3.8650739469637","Sangha","Republic of Congo","points","1","12"
"111","1.45599814777589","16.3401231624534","380","0.0074595316420157","2.81032011018783","Sangha","Republic of Congo","points","1","31"
"215","1.43300046781053","16.2589548801492","348","0.00363343423953841","3.92378795772305","Sangha","Republic of Congo","points","1","31"
"206","1.45031636801974","16.0389888351048","416","0.0226024716063112","1.1635840839641","Sangha","Republic of Congo","points","1","12"
"88","1.23927883421995","16.7879015198317","362","0.015235930275421","2.09273997360645","Likouala","Republic of Congo","points","1","31"
"236","1.32288216491756","16.716473431404","376","0.0116682969446901","2.32663864947526","Sangha","Republic of Congo","points","1","12"
"119","1.53500194248043","15.8966737801314","459","0.00844811627540912","1.86400734672778","Sangha","Republic of Congo","points","1","12"
"291","1.41703737230516","16.4616050249688","357","0.000976306102048562","2.55654456524028","Sangha","Republic of Congo","points","1","12"
"126","1.27742792686838","16.7906071292418","352","0.00748349645036865","0.70543209426419","Likouala","Republic of Congo","points","1","12"
"95","1.39539249704364","16.8165809795792","357","0.00935001473332145","0.292457454794484","Likouala","Republic of Congo","points","1","12"
"92","1.29068541296605","16.7383888676261","367","0.00509148464022801","5.84582812047722","Sangha","Republic of Congo","points","1","12"
"63","1.29312046143298","16.7492113052667","363","0.00652145431841725","1.9998629682584","Sangha","Republic of Congo","points","1","12"
"139","1.58045618052962","15.8993793895415","475","0.0146055990203912","1.72934288715282","Sangha","Republic of Congo","points","1","12"
"197","1.39241632669519","16.3539217704452","377","0.0066536824006781","1.26000115018461","Sangha","Republic of Congo","points","1","31"
